"20%",20,22.16
"40%",20,26.20
"60%",20,30.25
"80%",20,30.29
"100%",20,32.49
"20%",40,25.76
"40%",40,30.20
"60%",40,43.17
"80%",40,36.86
"100%",40,39.12
"20%",60,26.74
"40%",60,36.66
"60%",60,46.08
"80%",60,50.60
"100%",60,59.86
"20%",80,31.73
"40%",80,38.74
"60%",80,46.13
"80%",80,50.59
"100%",80,59.79
"20%",100,28.65
"40%",100,41.45
"60%",100,46.87
"80%",100,52.73
"100%",100,84.08
"20%",120,29.30
"40%",120,51.26
"60%",120,60.72
"80%",120,83.78
"100%",120,92.00
"20%",140,42.24
"40%",140,53.82
"60%",140,54.40
"80%",140,82.29
"100%",140,99.08
"20%",160,48.96
"40%",160,66.28
"60%",160,59.65
"80%",160,85.78
"100%",160,131.92
